
"TS002 - Legal partnership status"
"ONS Crown Copyright Reserved [from Nomis on 25 November 2025]"
"Population :","All usual residents aged 16 and over"
"Units      :","Persons"
"Legal partnership status:","Total: All usual residents aged 16 and over"

"2021 output area","2021","%"

"E00000001",163,100.0
"E00000003",217,100.0
"E00000005",106,100.0
"E00000007",139,100.0
"E00000010",171,100.0
"E00000013",231,100.0
"E00000018",226,100.0
"E00000019",350,100.0
"E00000020",187,100.0
"E00000021",332,100.0
"E00000022",191,100.0
"E00000023",179,100.0
"E00000024",338,100.0
"E00000025",323,100.0
"E00000028",216,100.0
"E00000029",273,100.0
"E00000030",269,100.0
"E00000031",118,100.0
"E00000032",301,100.0
"E00166755",344,100.0
"E00166756",261,100.0
"E00166757",381,100.0
"E00190348",196,100.0
"E00190349",245,100.0
"E00190405",195,100.0
"E00190407",214,100.0
"E00190426",173,100.0
"E00190429",257,100.0
"E00190433",208,100.0
"E00190437",346,100.0
"E00190440",218,100.0
"E00190445",140,100.0
"E00190449",247,100.0
"E00190458",241,100.0



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""

